subject	first_block	acc_slash	acc_z	acc_absent	acc_present	acc_global_LVF	acc_global_RVF	acc_local_LVF	acc_local_RVF	rt_global_LVF	rt_global_RVF	rt_local_LVF	rt_local_RVF	rt_overall	duration_s	exclude_many_gos	exclude_low_acc	exclude_low_rt	exclude_high_rt	exclude_long_duration	exclude	ehi_i1_writing	ehi_i2_throwing	ehi_i3_toothbrush	ehi_i4_spoon	ehi_total	age	country	sex	education	race	hispanic_ethnicity	task_experience_response	task_experience_other_response	open_ended_feedback_response
53c04378fdf99b360e022d92	z	78.75	77.5	81.25	77.34375	84.375	68.75	75	81.25	1117.5	1223	1146	1056	1137	749.121	0	0	0	0	0	0	25	12.5	12.5	12.5	62.5	26	US	Female	16	White	No	No	NA	NA
545cbbcafdf99b11ed040acf	slash	100	98.75	100	99.21875	100	100	96.875	100	776	767.5	742.5	759.5	766.5	666.221	0	0	0	0	0	0	25	12.5	12.5	12.5	62.5	28	US	Female	16	Asian	No	No	NA	NA
5484949efdf99b0379939cc6	slash	96.25	97.5	100	96.09375	96.875	96.875	100	90.625	704	685	686	702	700.5	560.669	0	0	0	0	0	0	-25	-25	-25	-25	-100	38	US	Male	16	White	No	No	NA	NA
558955ebfdf99b6bd06016c9	slash	98.75	97.5	90.625	100	100	100	100	100	540.5	553	534.5	527	546	502.891	0	0	0	0	0	0	25	25	25	25	100	32	US	Male	16	White	No	No	NA	Thanks!
55ae64defdf99b3f864653e7	z	98.75	100	96.875	100	100	100	100	100	742	781.5	746	783	770	658.294	0	0	0	0	0	0	-25	0	0	-25	-50	26	US	Female	16	White	No	No	NA	NA
55b0029bfdf99b5c00619440	slash	92.5	96.25	84.375	96.875	96.875	96.875	96.875	96.875	563.5	600	590	586	586	1053.577	0	0	0	0	0	0	25	12.5	25	25	87.5	38	US	Female	12	Black or African American	No	No	NA	NA
55bb9ae7fdf99b26d27fda01	z	76.25	83.75	62.5	84.375	87.5	96.875	65.625	87.5	784.5	704	1218	911.5	833	860.42	0	0	0	0	0	0	25	25	12.5	12.5	75	36	US	Female	12	White	No	No	NA	NA
55beec67fdf99b6b670922f8	slash	87.5	87.5	50	96.875	96.875	93.75	96.875	100	482	548	587.5	639.5	575.5	584.325	0	0	0	0	0	0	-25	-25	-25	-25	-100	36	US	Male	16	White	No	No	NA	NA
55c43918fdf99b080551e044	slash	97.5	95	96.875	96.09375	100	100	87.5	96.875	625.5	625	667.5	617.5	631.5	761.609	0	0	0	0	0	0	25	25	25	25	100	34	US	Male	14	Asian	No	No	NA	NA
55c82012fdf99b02adc2a36e	z	87.5	90	96.875	86.71875	93.75	93.75	75	84.375	727	690	908.5	813.5	764	1341.884	0	0	0	0	0	0	25	25	25	25	100	38	US	Female	16	White	No	No	NA	NA
